run_id,broker,msg_size,target_rate,duration,sent,received,lost,send_errors,consume_errors,actual_rate_in,actual_rate_out,avg_latency_ms,p50_ms,p95_ms,p99_ms,max_ms,peak_backlog
rabbit_102400_1000,rabbit,102400,1000,30,30001,30001,0,0,0,1000.02,807.75,43.638,0.779,276.491,391.609,472.727,146
rabbit_102400_10000,rabbit,102400,10000,30,46655,46655,0,0,0,1496.4,1210.66,1138.892,1025.45,2374.16,2679.766,2806.602,2577
rabbit_102400_5000,rabbit,102400,5000,30,46060,46060,0,0,0,1508.36,1233.05,1060.853,1076.432,1820.029,2850.338,2946.195,2563
rabbit_10240_1000,rabbit,10240,1000,30,30001,30001,0,0,0,1000.03,807.36,4.622,0.392,36.542,52.999,104.644,0
rabbit_10240_10000,rabbit,10240,10000,30,183413,183413,0,0,0,6082.45,4524.75,2061.384,1785.921,3807.676,4074.801,4184.787,22580
rabbit_10240_5000,rabbit,10240,5000,30,150001,150001,0,0,0,4999.99,4038.64,161.583,99.523,575.511,815.628,983.325,1060
rabbit_1024_1000,rabbit,1024,1000,30,30001,30001,0,0,0,1000.03,809.79,2.315,0.328,19.079,40.138,53.461,0
rabbit_1024_10000,rabbit,1024,10000,30,300001,300001,0,0,0,10000.0,8080.02,187.986,23.761,683.327,758.189,802.779,311
rabbit_1024_5000,rabbit,1024,5000,30,150001,150001,0,0,0,5000.01,4026.89,21.071,0.338,118.678,167.042,210.067,0
rabbit_128_1000,rabbit,128,1000,30,30001,30001,0,0,0,1000.03,788.06,2.0,0.318,14.354,38.563,57.307,0
rabbit_128_10000,rabbit,128,10000,30,300001,300001,0,0,0,9999.99,8072.75,132.284,7.115,529.62,703.177,810.16,118
rabbit_128_5000,rabbit,128,5000,30,150001,150001,0,0,0,5000.01,4038.72,11.577,0.311,58.965,91.746,146.141,0
redis_102400_1000,redis,102400,1000,30,30001,30001,0,0,0,1000.0,789.04,0.271,0.233,0.446,0.68,6.744,0
redis_102400_10000,redis,102400,10000,30,103226,103226,0,0,0,3440.76,2397.95,1414.756,471.698,7179.173,7865.951,7945.629,6222
redis_102400_5000,redis,102400,5000,30,150000,150000,0,0,0,5000.0,3945.25,3.64,0.189,19.976,73.567,89.128,438
redis_10240_1000,redis,10240,1000,30,30001,30001,0,0,0,1000.02,789.05,0.198,0.162,0.365,0.514,3.541,0
redis_10240_10000,redis,10240,10000,30,256977,256977,0,0,0,8565.88,6758.95,0.542,0.106,2.541,4.026,11.043,20
redis_10240_5000,redis,10240,5000,30,150000,150000,0,0,0,4999.99,3945.29,0.132,0.112,0.219,0.424,5.724,1
redis_1024_1000,redis,1024,1000,30,30001,30001,0,0,0,1000.03,789.14,0.183,0.152,0.337,0.48,2.105,0
redis_1024_10000,redis,1024,10000,30,299978,299978,0,0,0,9999.24,7889.6,11.137,1.785,43.214,49.142,52.878,512
redis_1024_5000,redis,1024,5000,30,150001,150001,0,0,0,5000.0,3945.57,0.245,0.097,0.22,5.972,25.334,1
redis_128_1000,redis,128,1000,30,30001,30001,0,0,0,1000.03,789.05,0.188,0.153,0.343,0.48,3.974,0
redis_128_10000,redis,128,10000,30,299991,299991,0,0,0,9999.69,7890.26,12.477,1.445,50.207,60.266,68.704,659
redis_128_5000,redis,128,5000,30,150001,150001,0,0,0,4999.99,3945.37,0.209,0.094,0.216,4.708,20.386,0
